Trace
Swept SA
A.18.17,N9030B
544 B25 DP2 EP1 EXM FS1 FSA LFE MPB NF2 NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.020333333333
Start Frequency,95300000
Stop Frequency,96300000
Average Count,100
Average Type,LogPower(Video)
RBW,1000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,10000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
95300000,-92.4536132812821
95301000,-93.4931945801494
95302000,-96.376907349283
95303000,-96.301376343387
95304000,-95.4875793460319
95305000,-96.4300613410092
95306000,-97.0542678843937
95307000,-97.6491928117832
95308000,-96.8138198861628
95309000,-97.15058136104
95310000,-97.1397857677685
95311000,-97.3863830580505
95312000,-96.3830032355165
95313000,-96.4215240485244
95314000,-95.5761337283792
95315000,-94.5642776490878
95316000,-94.8455505373103
95317000,-94.4563751222194
95318000,-96.5787048347434
95319000,-96.2434692388682
95320000,-96.0569686894736
95321000,-95.6986160282186
95322000,-97.2799530042292
95323000,-95.9860458378842
95324000,-96.084678650422
95325000,-96.5717163093487
95326000,-94.8246765138696
95327000,-95.6091766361031
95328000,-96.4175643927607
95329000,-95.9536361699036
95330000,-95.9335937504629
95331000,-92.8710784912552
95332000,-90.1337661743218
95333000,-90.2894287109436
95334000,-93.2378768921484
95335000,-93.801208496184
95336000,-94.4870681764222
95337000,-94.4855194093322
95338000,-95.4102783206224
95339000,-95.9150314335618
95340000,-94.9702301027602
95341000,-95.7254409793985
95342000,-95.2907943728414
95343000,-96.0429306035307
95344000,-93.0883026123569
95345000,-92.987342834521
95346000,-95.7115402225584
95347000,-94.599502563643
95348000,-94.5378417970337
95349000,-95.8764343266149
95350000,-95.5697097781822
95351000,-95.8039779667277
95352000,-94.2010421754156
95353000,-90.5204772949292
95354000,-90.6961746215904
95355000,-95.6922073368105
95356000,-96.4273834235276
95357000,-96.136848450248
95358000,-96.6100158699182
95359000,-96.1229629521954
95360000,-96.5051956183934
95361000,-94.8837661745234
95362000,-94.7866592409148
95363000,-92.7259674072661
95364000,-90.184402465826
95365000,-90.3369827270571
95366000,-95.0717697145946
95367000,-94.3643112184007
95368000,-96.2500534063518
95369000,-96.1953353887494
95370000,-96.1776046758512
95371000,-96.3401947027808
95372000,-96.3309402472099
95373000,-95.6504669193179
95374000,-95.4146423342954
95375000,-95.675109863661
95376000,-95.7452316288187
95377000,-92.6549682617562
95378000,-92.3058624267865
95379000,-94.8320083620154
95380000,-95.2812805178589
95381000,-94.9853515627238
95382000,-95.0161666872408
95383000,-96.6306457527432
95384000,-95.9262771611049
95385000,-96.0279922490329
95386000,-96.0210495000068
95387000,-96.6290740974689
95388000,-96.2676391607544
95389000,-96.8702697763401
95390000,-96.5304107673333
95391000,-96.4610443122172
95392000,-97.4320449843709
95393000,-96.4517822272514
95394000,-96.1689529424491
95395000,-94.8072280885741
95396000,-92.1716461181899
95397000,-92.2340621948514
95398000,-96.7191619881504
95399000,-97.1607284557763
95400000,-96.2875900274629
95401000,-96.4733047492356
95402000,-96.9988708506574
95403000,-97.5699081437136
95404000,-99.0425872852959
95405000,-97.9097442648024
95406000,-98.3582458525813
95407000,-96.9510574350923
95408000,-97.8573226948952
95409000,-95.5176620486765
95410000,-96.1742324834671
95411000,-95.718009949123
95412000,-95.405891418766
95413000,-96.2304687505814
95414000,-90.9878234863386
95415000,-90.987815856944
95416000,-97.8780670186582
95417000,-98.3512344389914
95418000,-98.1200332666361
95419000,-98.9369049118585
95420000,-97.681526185851
95421000,-97.0318756114265
95422000,-96.9116516123084
95423000,-97.8001861591641
95424000,-96.8176193246426
95425000,-96.1810607915755
95426000,-95.6901626590757
95427000,-94.8786697389758
95428000,-89.3609085083038
95429000,-89.2953948974638
95430000,-93.4298553467476
95431000,-94.8146820070323
95432000,-94.7668914796815
95433000,-95.4627761844048
95434000,-95.4635391238581
95435000,-96.1000747685926
95436000,-96.2595901495204
95437000,-96.3112182623374
95438000,-95.8002777103791
95439000,-97.5573196427217
95440000,-97.5395889298094
95441000,-96.8583374032849
95442000,-97.5742568986022
95443000,-96.1531906133411
95444000,-96.0892257695648
95445000,-97.1735000622336
95446000,-97.0725402843123
95447000,-96.8690872201872
95448000,-97.3684539808839
95449000,-94.5718002320966
95450000,-94.5741043092453
95451000,-96.4968414313774
95452000,-95.556655884136
95453000,-95.6668472293814
95454000,-95.8726043705592
95455000,-96.1107254033626
95456000,-94.6349487306399
95457000,-94.6056518556361
95458000,-94.4276275636225
95459000,-93.7625656128806
95460000,-90.2592391967833
95461000,-90.2145385742245
95462000,-92.7869186401782
95463000,-95.9665527348501
95464000,-95.7731170658393
95465000,-96.5606994636398
95466000,-96.5198516852964
95467000,-94.9731750490499
95468000,-94.9338684084183
95469000,-97.0970382701733
95470000,-96.2177352911033
95471000,-97.3991165175382
95472000,-96.2377548223622
95473000,-95.6150741580777
95474000,-95.6990661624964
95475000,-90.7847061157316
95476000,-91.163085937512
95477000,-95.4663162234683
95478000,-98.245994570599
95479000,-96.3170852667349
95480000,-96.8858032236176
95481000,-97.5955505387661
95482000,-98.212059023654
95483000,-97.7319412249839
95484000,-95.8808670048394
95485000,-95.9455947880652
95486000,-96.1659851079755
95487000,-96.0249557500086
95488000,-94.4998550416582
95489000,-93.4687347412809
95490000,-93.1666412354071
95491000,-93.8224487305606
95492000,-90.0686645507864
95493000,-89.5014724731479
95494000,-91.2962799072398
95495000,-93.8933181763664
95496000,-93.3985595703788
95497000,-93.512603759838
95498000,-94.8234558107446
95499000,-94.3803329469181
95500000,-94.4234771729971
95501000,-95.7073516849598
95502000,-95.486946106286
95503000,-95.8159942631187
95504000,-94.2747192384111
95505000,-94.8018264772453
95506000,-96.961143494671
95507000,-97.2000350964383
95508000,-96.2976074224875
95509000,-97.2609024060671
95510000,-98.0484848045911
95511000,-98.0299835228198
95512000,-97.9798812888459
95513000,-98.8953933760712
95514000,-98.137847902902
95515000,-97.8650360127795
95516000,-97.9413223288202
95517000,-95.4344329837144
95518000,-86.0634841918948
95519000,-86.0642471313479
95520000,-95.1284713747616
95521000,-96.2204513555578
95522000,-95.6709823612187
95523000,-94.8533325197336
95524000,-91.5341873169104
95525000,-91.0818176269644
95526000,-93.48080444343
95527000,-97.8649520894397
95528000,-96.8137969979803
95529000,-95.1068267824724
95530000,-94.8833312990352
95531000,-97.9273452780161
95532000,-98.2155532863572
95533000,-97.726966859743
95534000,-97.2483901990238
95535000,-95.8304138187875
95536000,-90.1269226074273
95537000,-90.0575561523489
95538000,-96.0808486943664
95539000,-96.3359222418418
95540000,-96.8622589120773
95541000,-96.7651519784158
95542000,-96.4923400886019
95543000,-96.5092849738651
95544000,-96.8283233651781
95545000,-96.0985260015024
95546000,-95.6369018558379
95547000,-96.2526321417051
95548000,-95.5613708499577
95549000,-95.431892395335
95550000,-95.8580474857889
95551000,-97.0024337779072
95552000,-96.1485672002535
95553000,-96.0637893681879
95554000,-95.7570648197407
95555000,-95.4958114627336
95556000,-92.0865097046141
95557000,-91.9832382202373
95558000,-94.0855255128077
95559000,-95.3092880251895
95560000,-96.8713684091543
95561000,-97.2682342542192
95562000,-96.0328979497189
95563000,-96.7241516121778
95564000,-96.7210617073906
95565000,-95.9465637211712
95566000,-95.7076568607413
95567000,-96.9976959238996
95568000,-95.8872070316973
95569000,-96.7102355965438
95570000,-96.0844726567703
95571000,-94.5501251222308
95572000,-94.5454940797497
95573000,-96.0019912724611
95574000,-95.7800445560761
95575000,-96.2408752447272
95576000,-96.3634033209569
95577000,-96.3973007208762
95578000,-95.8809661869686
95579000,-97.1579055797983
95580000,-96.2839965826376
95581000,-96.7733459481481
95582000,-96.1707000737981
95583000,-96.5344314582543
95584000,-94.8737030031353
95585000,-95.1372528078689
95586000,-95.6936492923778
95587000,-95.6851654056566
95588000,-92.397621154816
95589000,-90.7507629394618
95590000,-91.8396606445513
95591000,-94.7750091554641
95592000,-96.190666199295
95593000,-96.3309173590271
95594000,-96.3871612555391
95595000,-96.6954116829602
95596000,-95.3383102419929
95597000,-89.4629669189486
95598000,-89.4552536010774
95599000,-95.2789535525267
95600000,-97.1415710460923
95601000,-97.0413818370214
95602000,-96.250701904888
95603000,-95.0723953249465
95604000,-94.9305877687695
95605000,-94.755645752141
95606000,-93.3145523071911
95607000,-91.9312515259005
95608000,-92.2996063232708
95609000,-92.4930267334316
95610000,-93.8562774659146
95611000,-92.9970092773925
95612000,-94.1098022462082
95613000,-94.9598083498291
95614000,-94.6808319093571
95615000,-95.2981033328043
95616000,-95.3181304934533
95617000,-95.2980880740153
95618000,-93.170356750544
95619000,-94.0527267457151
95620000,-93.1387405396052
95621000,-90.7574691772548
95622000,-91.0472183227648
95623000,-95.5685424808192
95624000,-96.4470596320349
95625000,-95.8320846561906
95626000,-95.8628997807126
95627000,-97.1567916881961
95628000,-95.7010574344699
95629000,-95.5731201175392
95630000,-97.9096832296487
95631000,-97.8326110859729
95632000,-95.6093215945998
95633000,-95.6093139652053
95634000,-96.2481613165081
95635000,-96.0100326543002
95636000,-97.5536117569767
95637000,-97.1166534435313
95638000,-97.1228103649235
95639000,-98.1030502343805
95640000,-98.2271194484919
95641000,-97.549720765761
95642000,-97.9442749045102
95643000,-96.1718063360058
95644000,-96.5563507087552
95645000,-98.1261291528813
95646000,-97.8456115742743
95647000,-98.2648315457389
95648000,-98.2000885036126
95649000,-97.0972976695887
95650000,-95.713226318751
95651000,-95.7101364139649
95652000,-92.6352920532596
95653000,-89.7430801391642
95654000,-91.3321304321425
95655000,-96.6425781257986
95656000,-95.7440109256939
95657000,-96.0730667119418
95658000,-90.8126907348724
95659000,-90.8096008300872
95660000,-95.1999130251665
95661000,-95.9643783574084
95662000,-95.8279647831425
95663000,-94.9409561159393
95664000,-95.0704193117627
95665000,-94.7020492555515
95666000,-95.1066207888202
95667000,-95.6976928714807
95668000,-95.613685608273
95669000,-95.310050964643
95670000,-96.5338134772972
95671000,-96.1184310918429
95672000,-96.4713821418137
95673000,-96.4205093390525
95674000,-96.5576782234046
95675000,-96.5021820075531
95676000,-96.9144668588939
95677000,-96.7164077767241
95678000,-95.313072204878
95679000,-94.3251037599007
95680000,-94.2541961671201
95681000,-93.8434448243121
95682000,-93.8580780030241
95683000,-94.8121185304697
95684000,-93.9775161744199
95685000,-90.4503021240304
95686000,-90.3585891723697
95687000,-93.9081344605474
95688000,-94.0491561890742
95689000,-94.8536911012769
95690000,-94.7095718385603
95691000,-94.9715805055929
95692000,-95.4925308230846
95693000,-95.54646301304
95694000,-95.353797912895
95695000,-95.3206558230438
95696000,-95.1272201540585
95697000,-94.3542633058022
95698000,-93.9997634888748
95699000,-95.0771026613733
95700000,-95.6096038821977
95701000,-95.1009826662606
95702000,-95.0986633303226
95703000,-95.8230514530628
95704000,-96.1644363408856
95705000,-96.1374588018118
95706000,-94.139961242793
95707000,-95.0693435671336
95708000,-95.9039306645159
95709000,-96.9427413950485
95710000,-96.8941879282149
95711000,-96.7685699471689
95712000,-96.4433517462911
95713000,-96.1535873418576
95714000,-95.0315322878299
95715000,-93.2290039063083
95716000,-92.8405990601019
95717000,-90.4855194091868
95718000,-90.5587234497146
95719000,-89.0960464477564
95720000,-89.1183929443384
95721000,-91.249198913587
95722000,-92.651748657264
95723000,-93.0910034180212
95724000,-92.7349624634188
95725000,-92.5345916748389
95726000,-89.2000350952175
95727000,-89.1206512451197
95728000,-91.1705398559691
95729000,-94.4973754884355
95730000,-93.1687850952705
95731000,-93.0161972046394
95732000,-90.2280197143613
95733000,-89.1668472290065
95734000,-90.0052947998096
95735000,-88.2189483642591
95736000,-87.8004913330087
95737000,-86.5921249389652
95738000,-87.4413604736335
95739000,-88.8947753906271
95740000,-88.7313919067401
95741000,-88.6473846435564
95742000,-87.7411041259774
95743000,-87.4305343627937
95744000,-86.8563995361333
95745000,-86.8571624755864
95746000,-87.5584411621101
95747000,-87.5098800659187
95748000,-87.2964096069342
95749000,-86.2036361694339
95750000,-86.1866760253909
95751000,-83.7198638916016
95752000,-83.7329559326172
95753000,-84.3016738891602
95754000,-84.7617416381837
95755000,-84.0750961303712
95756000,-82.0814514160156
95757000,-81.5235061645508
95758000,-80.4684906005859
95759000,-78.4370880126953
95760000,-76.1960678100586
95761000,-76.129020690918
95762000,-76.4310989379883
95763000,-73.4433364868164
95764000,-72.151741027832
95765000,-72.0546340942383
95766000,-72.6572647094727
95767000,-75.0192565917969
95768000,-74.2385940551758
95769000,-71.7186050415039
95770000,-69.0498809814453
95771000,-64.9138717651367
95772000,-65.1851272583008
95773000,-66.6770706176758
95774000,-66.801139831543
95775000,-67.6357269287109
95776000,-65.4347839355469
